Plaza,PlazaName,Date,TotalCars
21,Catskill,2019-06-30,142476
21,Catskill,2019-07-01,146170
21,Catskill,2019-07-02,145901
21,Catskill,2019-07-03,146802
21,Catskill,2019-07-04,105747
21,Catskill,2019-07-05,127391
21,Catskill,2019-07-06,114063
21,Catskill,2019-07-07,134164
21,Catskill,2019-07-08,151368
21,Catskill,2019-07-09,151046
21,Catskill,2019-07-10,151890
21,Catskill,2019-07-11,153368
21,Catskill,2019-07-12,157864
21,Catskill,2019-07-13,150561
21,Catskill,2019-07-14,150879
21,Catskill,2019-07-15,152257
21,Catskill,2019-07-16,149693
21,Catskill,2019-07-17,145154
21,Catskill,2019-07-18,152428
21,Catskill,2019-07-19,158921
21,Catskill,2019-07-20,134219
21,Catskill,2019-07-21,132142
21,Catskill,2019-07-22,147596
21,Catskill,2019-07-23,144002
21,Catskill,2019-07-24,155489
21,Catskill,2019-07-25,155302
21,Catskill,2019-07-26,159231
21,Catskill,2019-07-27,148754
21,Catskill,2019-07-28,145911
21,Catskill,2019-07-29,147615
21,Catskill,2019-07-30,145636
21,Catskill,2019-07-31,145403
21,Catskill,2019-08-01,158521
21,Catskill,2019-08-02,155199
21,Catskill,2019-08-03,138454
21,Catskill,2019-08-04,141377
21,Catskill,2019-08-05,147281
21,Catskill,2019-08-06,144157
21,Catskill,2019-08-07,144971
21,Catskill,2019-08-08,153426
21,Catskill,2019-08-09,158334
21,Catskill,2019-08-10,145700
21,Catskill,2019-08-11,141423
21,Catskill,2019-08-12,150590
21,Catskill,2019-08-13,140554
21,Catskill,2019-08-14,149113
21,Catskill,2019-08-15,152194
21,Catskill,2019-08-16,157044
21,Catskill,2019-08-17,138339
21,Catskill,2019-08-18,137133
21,Catskill,2019-08-19,146546
21,Catskill,2019-08-20,143424
21,Catskill,2019-08-21,147005
21,Catskill,2019-08-22,151637
21,Catskill,2019-08-23,154620
21,Catskill,2019-08-24,149354
21,Catskill,2019-08-25,146094
21,Catskill,2019-08-26,145426
21,Catskill,2019-08-27,150685
21,Catskill,2019-08-28,147060
21,Catskill,2019-08-29,156939
21,Catskill,2019-08-30,164325
21,Catskill,2019-08-31,147228
21,Catskill,2019-09-01,139534
21,Catskill,2019-09-02,115979
21,Catskill,2019-09-03,154044
21,Catskill,2019-09-04,146304
21,Catskill,2019-09-05,151198
21,Catskill,2019-09-06,155317
21,Catskill,2019-09-07,146476
21,Catskill,2019-09-08,153732
21,Catskill,2019-09-09,140714
21,Catskill,2019-09-10,139371
21,Catskill,2019-09-11,143472
21,Catskill,2019-09-12,152017
21,Catskill,2019-09-13,155300
21,Catskill,2019-09-14,140798
21,Catskill,2019-09-15,142958
21,Catskill,2019-09-16,144732
21,Catskill,2019-09-17,145235
21,Catskill,2019-09-18,147799
21,Catskill,2019-09-19,151291
21,Catskill,2019-09-20,158800
21,Catskill,2019-09-21,149874
21,Catskill,2019-09-22,144378
21,Catskill,2019-09-23,151343
21,Catskill,2019-09-24,147605
21,Catskill,2019-09-25,151977
21,Catskill,2019-09-26,152496
21,Catskill,2019-09-27,160495
21,Catskill,2019-09-28,152816
21,Catskill,2019-09-29,147344
21,Catskill,2019-10-01,139275
21,Catskill,2019-10-02,137023
21,Catskill,2019-10-03,144224
21,Catskill,2019-10-04,154857
21,Catskill,2019-10-05,144814
21,Catskill,2019-10-06,130255
21,Catskill,2019-10-07,138608
21,Catskill,2019-10-08,137372
21,Catskill,2019-10-09,127212
21,Catskill,2019-10-10,149497
21,Catskill,2019-10-11,161646
21,Catskill,2019-10-12,146797
21,Catskill,2019-10-13,139299
21,Catskill,2019-10-14,133331
21,Catskill,2019-10-15,142153
21,Catskill,2019-10-16,137751
21,Catskill,2019-10-17,149051
21,Catskill,2019-10-18,155737
21,Catskill,2019-10-19,150080
21,Catskill,2019-10-20,128599
21,Catskill,2019-10-21,137684
21,Catskill,2019-10-22,137324
21,Catskill,2019-10-23,149119
21,Catskill,2019-10-24,151478
21,Catskill,2019-10-25,155931
21,Catskill,2019-10-26,143540
21,Catskill,2019-10-27,116784
21,Catskill,2019-10-28,144104
21,Catskill,2019-10-29,142337
21,Catskill,2019-10-30,144639
21,Catskill,2019-10-31,135566
21,Catskill,2019-11-01,149750
21,Catskill,2019-11-02,145892
21,Catskill,2019-11-03,127186
21,Catskill,2019-11-04,144555
21,Catskill,2019-11-05,137472
21,Catskill,2019-11-06,146913
21,Catskill,2019-11-07,151109
21,Catskill,2019-11-08,154373
21,Catskill,2019-11-09,144081
21,Catskill,2019-11-10,132742
21,Catskill,2019-11-11,135151
21,Catskill,2019-11-12,140953
21,Catskill,2019-11-13,142084
21,Catskill,2019-11-14,153231
21,Catskill,2019-11-15,157376
21,Catskill,2019-11-16,139748
21,Catskill,2019-11-17,124009
21,Catskill,2019-11-18,139226
21,Catskill,2019-11-19,143343
21,Catskill,2019-11-20,147741
21,Catskill,2019-11-21,150944
21,Catskill,2019-11-22,155217
21,Catskill,2019-11-23,141628
21,Catskill,2019-11-24,114767
21,Catskill,2019-11-25,138252
21,Catskill,2019-11-26,147140
21,Catskill,2019-11-28,133782
21,Catskill,2019-11-29,120317
21,Catskill,2019-11-30,143427
21,Catskill,2019-12-01,109012
21,Catskill,2019-12-02,118969
21,Catskill,2019-12-03,138357
21,Catskill,2019-12-04,146751
21,Catskill,2019-12-05,149705
21,Catskill,2019-12-06,154102
21,Catskill,2019-12-07,142926
21,Catskill,2019-12-08,124417
21,Catskill,2019-12-09,137114
21,Catskill,2019-12-10,145538
21,Catskill,2019-12-11,139452
